iter	Logloss
183	0.4362233239
184	0.4359356021
185	0.4355807456
186	0.4353554103
187	0.4351343333
188	0.4347878227
189	0.4345902365
190	0.4343596358
191	0.4341634054
192	0.4338321765
193	0.4336334908
194	0.4334030197
195	0.4330809088
196	0.4328759857
197	0.4326555694
198	0.4324876848
199	0.4322842442
200	0.4321286194
201	0.4319827982
202	0.4317473635
203	0.431536077
204	0.4313410234
205	0.4311051252
206	0.430914993
207	0.4306159165
208	0.4303872055
209	0.4302152168
210	0.4299862912
211	0.4297915249
212	0.4295865856
213	0.4293347058
214	0.4291475301
215	0.4289334229
216	0.4287701138
217	0.4285124441
218	0.4282544339
219	0.4279688552
220	0.427796358
221	0.427616775
222	0.4274055352
223	0.4271017456
224	0.4267430719
225	0.4265072797
226	0.4262826202
227	0.4262234122
228	0.4260287535
229	0.4257863685
230	0.4256627841
231	0.4254379384
232	0.4252745378
233	0.4250899646
234	0.4249372137
235	0.4247504128
236	0.4244993266
237	0.4242857093
238	0.4240371934
239	0.423877854
240	0.4237586018
241	0.4236383778
242	0.4234710245
243	0.4232767983
244	0.4230631876
245	0.4228733987
246	0.4227251409
247	0.4224420615
248	0.4222402749
249	0.4219834339
250	0.4217244782
251	0.4214129134
252	0.4212550174
253	0.4210279229
254	0.4208958707
255	0.4207836374
256	0.4205532246
257	0.4204177362
258	0.420218784
259	0.4200396886
260	0.4198761594
261	0.4196989912
262	0.4195442926
263	0.4193619315
264	0.4191617713
265	0.4190237095
266	0.4188101124
267	0.4186782912
268	0.4184734787
269	0.41833553
270	0.4180885149
271	0.4180144094
272	0.417839542
273	0.4176883795
274	0.4175266536
275	0.4173473584
276	0.4171229401
277	0.4169277923
278	0.4167566045
279	0.4166387139
280	0.4165368122
281	0.4163636774
282	0.4161410789
283	0.4159795582
284	0.4158274974
285	0.4157003404
286	0.4154721658
287	0.4152411637
288	0.4150914908
289	0.4148210908
290	0.4147087468
291	0.4145873136
292	0.414396585
293	0.4142825557
294	0.4140947856
295	0.4138430908
296	0.4136964715
297	0.4136219986
298	0.4134812027
299	0.4132206238
300	0.41306162
301	0.412974138
302	0.4127911954
303	0.412662217
304	0.4124962017
305	0.4123270375
306	0.4121656439
307	0.4119144861
308	0.4117038262
309	0.4114961968
310	0.4114112402
311	0.4112682757
312	0.4110652519
313	0.4107067377
314	0.4104941186
315	0.4103738037
316	0.41012983
317	0.4100487552
318	0.4099362735
319	0.4097107534
320	0.4095764735
321	0.409371573
322	0.4092556831
323	0.4091331842
324	0.4089967625
325	0.4088973291
326	0.4087658094
327	0.4086599942
328	0.40853291
329	0.4083853129
330	0.4081997772
331	0.4080126316
332	0.4078193796
333	0.4076109329
334	0.4073819091
335	0.4072671094
336	0.4071676297
337	0.4069976311
338	0.406908711
339	0.4067705937
340	0.4066300996
341	0.4064310064
342	0.4062592844
343	0.4061449306
344	0.406064924
345	0.4059198355
346	0.4057234511
347	0.4055603894
348	0.4055055252
349	0.4053323671
350	0.4052060768
351	0.4050416213
352	0.4049666404
353	0.404761034
354	0.4045640851
355	0.4044516453
356	0.4043045207
357	0.4040726028
358	0.4040349183
359	0.4038739796
360	0.4037510272
361	0.4036386213
362	0.4034535301
363	0.4032564945
364	0.4030558631
365	0.4029116654
366	0.4027585468
367	0.4025181855
368	0.402256464
369	0.4021561353
370	0.4020797832
371	0.4019130486
372	0.4017396983
373	0.4016745871
374	0.4015122322
375	0.4013473463
376	0.4012148743
377	0.4011079946
378	0.4010058677
379	0.4008734519
380	0.4007801383
381	0.4006588079
382	0.4004914518
383	0.4003028883
384	0.4000983841
385	0.3999534863
386	0.3997672474
387	0.3996553341
388	0.3994628667
389	0.3994024419
390	0.3992315287
391	0.399208602
392	0.3990542175
393	0.3989938942
394	0.3988065767
395	0.3986830469
396	0.3985280104
397	0.3984760757
398	0.3983191752
399	0.398175625
400	0.3979932036
401	0.3978550125
402	0.3977832728
403	0.3976298904
404	0.3975109713
405	0.3974170726
406	0.3972990023
407	0.3970535823
408	0.3968922405
409	0.3968057216
410	0.3966920365
411	0.3965831529
412	0.396468242
413	0.3963956606
414	0.3962553063
415	0.3961917297
416	0.3960669434
417	0.395886908
418	0.395801519
419	0.3956816523
420	0.3954998773
421	0.3954008317
422	0.395191523
423	0.3950601828
424	0.3949105221
425	0.3948289563
426	0.3947357975
427	0.394634201
428	0.3944225197
429	0.3942456666
430	0.3940306094
431	0.3938852146
432	0.3937468481
433	0.3936825606
434	0.393582055
435	0.3934455553
436	0.3933239087
437	0.3932228976
438	0.3930960487
439	0.3930161843
440	0.3929401107
441	0.392864815
442	0.3927605113
443	0.3926157322
444	0.3925336543
445	0.3923517043
446	0.39222472
447	0.3921168854
448	0.3920293729
449	0.3919390575
450	0.3918022054
451	0.3916748225
452	0.3915096908
453	0.391388666
454	0.3912427548
455	0.3911259229
456	0.3909964268
457	0.3907554561
458	0.3905455926
459	0.390395283
460	0.3903389568
461	0.3900519927
462	0.3898798132
463	0.3896325638
464	0.3894967718
465	0.3891974143
466	0.389085754
467	0.3889368563
468	0.3889013933
469	0.3886540763
470	0.3885060239
471	0.3884422694
472	0.3883439421
473	0.3882476492
474	0.388192876
475	0.3880459677
476	0.3879229059
477	0.3877666388
478	0.3875769502
479	0.3874748185
480	0.3873566339
481	0.3872101663
482	0.3870987747
483	0.3870041368
484	0.3867947989
485	0.3865506648
486	0.386373277
487	0.3861999709
488	0.3860549345
489	0.3858932932
490	0.3857885718
491	0.3856337583
492	0.3855148416
493	0.3853815067
494	0.3852202667
495	0.3850140474
496	0.3848379406
497	0.3846434611
498	0.3845223198
499	0.3843784263
500	0.3841674856
501	0.3840551223
502	0.3838470918
503	0.3837581431
504	0.383635064
505	0.3835546072
506	0.3834634467
507	0.3833320501
508	0.383234743
509	0.3831112769
510	0.3829869405
511	0.3828791042
512	0.3827659626
513	0.3826725395
514	0.3825939129
515	0.3824837301
516	0.3823278204
517	0.3822039393
518	0.3821029853
519	0.3819250948
520	0.3817005499
521	0.3816203267
522	0.3815034986
523	0.381375481
524	0.3813096378
525	0.3812219463
526	0.3811050193
527	0.3809054941
528	0.3807262666
529	0.3806758662
530	0.3806062012
531	0.3804069543
532	0.3801984684
533	0.3800720895
534	0.3799564862
535	0.3798336074
536	0.3797330779
537	0.379559382
538	0.3793594675
539	0.3792838493
540	0.3791593728
541	0.3791074837
542	0.3789597007
543	0.378684699
544	0.3785338149
545	0.3784873978
546	0.3784179097
547	0.3783039408
548	0.3781334626
549	0.3780179956
550	0.3779219632
551	0.377853938
552	0.377784805
553	0.3777264579
554	0.3776668835
555	0.3775771233
556	0.3774610716
557	0.3773110563
558	0.3771921452
559	0.3770465212
560	0.3769489312
561	0.3768163212
562	0.3765269048
563	0.3763693392
564	0.376228359
565	0.3760593145
566	0.3758573069
567	0.3757830377
568	0.375580027
569	0.3754663849
570	0.3753569633
571	0.3752416483
572	0.3751620216
573	0.3750685314
574	0.3749748187
575	0.3748094103
576	0.3746906635
577	0.3745138716
578	0.3743856446
579	0.374257857
580	0.3741324081
581	0.3740492706
582	0.3738244652
583	0.3736465156
584	0.373504374
585	0.3733975364
586	0.3732516508
587	0.3731096777
588	0.3730186032
589	0.3728438022
590	0.372682343
591	0.3725968377
592	0.3724505786
593	0.3723089796
594	0.3722059769
595	0.3721570693
596	0.3720154149
597	0.3719014316
598	0.371807123
599	0.3717316182
600	0.371628778
601	0.3715158905
602	0.3714007832
603	0.3713448495
604	0.3712630043
605	0.3711734976
606	0.3710768022
607	0.3709610168
608	0.3708623438
609	0.3707412626
610	0.3706449836
611	0.3704885235
612	0.3703991542
613	0.3703167455
614	0.3701716098
615	0.3700606359
616	0.3699344065
617	0.3698055712
618	0.3697316334
619	0.3696053935
620	0.3695125579
621	0.369439966
622	0.3693284846
623	0.3691794093
624	0.3689635984
625	0.3688626414
626	0.368703142
627	0.3685839879
628	0.3684442034
629	0.3683248144
630	0.3681524751
631	0.3679878675
632	0.3677715023
633	0.3676577796
634	0.3675588943
635	0.3674318803
636	0.3672884756
637	0.3671345604
638	0.3670343648
639	0.3668641006
640	0.3667809847
641	0.3666035733
642	0.3665220374
643	0.3664453473
644	0.3663735865
645	0.3662630271
646	0.3661614948
647	0.3660311347
648	0.3658735319
649	0.3656975142
650	0.3654869959
651	0.3654289509
652	0.3653041775
653	0.3651972891
654	0.3650074965
655	0.3649231416
656	0.3648131009
657	0.3647434156
658	0.3646201313
659	0.3644847516
660	0.364287173
661	0.3641516455
662	0.3640659175
663	0.3639373374
664	0.3637530056
665	0.3636997625
666	0.3635882655
667	0.3635324984
668	0.3634474845
669	0.3633317703
670	0.363113215
671	0.3629714603
672	0.3628658906
673	0.3627949355
674	0.3626938539
675	0.3624436803
676	0.3622810227
677	0.3621784173
678	0.362066083
679	0.361909409
680	0.361792124
681	0.3617228118
682	0.3616177359
683	0.3613282645
684	0.361171332
685	0.3610243086
686	0.3608980561
687	0.3606047671
688	0.3605278373
689	0.3603826106
690	0.3602190981
691	0.3601348939
692	0.3600445134
693	0.3599115644
694	0.3597971286
695	0.3596059231
696	0.3595371277
697	0.3594663384
698	0.3593883994
699	0.3592074161
700	0.3590793945
701	0.3589220854
702	0.3588425708
703	0.3587446339
704	0.3586524384
705	0.3585923649
706	0.3584686798
707	0.3582393843
708	0.3580444775
709	0.3578921046
710	0.3577444826
711	0.3576393448
712	0.3574739407
713	0.35733329
714	0.3572181676
715	0.3570312414
716	0.3568989712
717	0.3567456929
718	0.3566872171
719	0.3565909058
720	0.3564372782
721	0.3563059737
722	0.3561471896
723	0.3560202721
724	0.3559428229
725	0.3557813192
726	0.3556604298
727	0.3555988563
728	0.3554376247
729	0.3552681324
730	0.3551631737
731	0.3550070173
732	0.3548470986
733	0.3546334818
734	0.3544725999
735	0.3543554309
736	0.3542284298
737	0.3541523059
738	0.3538782116
739	0.3537553562
740	0.3535551791
741	0.3534402298
742	0.3533474662
743	0.3532807413
744	0.353116087
745	0.352968137
746	0.3527834883
747	0.3526884533
748	0.352620792
749	0.3524205814
750	0.3522956163
751	0.3522204213
752	0.3520462227
753	0.3519168974
754	0.3517977601
755	0.3516462358
756	0.3515660845
757	0.3514596502
758	0.3512159855
759	0.3510752531
760	0.3508242422
761	0.350616865
762	0.350360062
763	0.3502531403
764	0.3501222194
765	0.3499882115
766	0.3498311685
767	0.349644622
768	0.3494267366
769	0.3493326534
770	0.3492132197
771	0.3490938804
772	0.3489813321
773	0.3487999603
774	0.3486863642
775	0.3486000469
776	0.3485474418
777	0.3483419296
778	0.3482550412
779	0.3481948507
780	0.3480995542
781	0.3480011172
782	0.3478101195
783	0.3476408292
784	0.3474550492
785	0.3473459934
786	0.3472283148
787	0.3470929609
788	0.3468756039
789	0.3467125218
790	0.3465593256
791	0.3463908767
792	0.3463071518
793	0.346155928
794	0.3458845347
795	0.3457528463
796	0.3456424504
797	0.3454655002
798	0.3453521662
799	0.3451287497
800	0.345039521
801	0.3449749653
802	0.3448856166
803	0.3447556215
804	0.3445944151
805	0.3445109549
806	0.3443791296
807	0.3443405711
808	0.3441823955
809	0.3440525386
810	0.3438161252
811	0.343720566
812	0.3434499809
813	0.3433470503
814	0.3432060836
815	0.3430372388
816	0.3428342807
817	0.3427430391
818	0.3426372474
819	0.3425564193
820	0.3424715182
821	0.3423879953
822	0.3422780761
823	0.3421826748
824	0.3419751186
825	0.3419002829
826	0.3418001936
827	0.3415638032
828	0.3414422667
829	0.3412457516
830	0.3409934929
831	0.3408731509
832	0.3406498961
833	0.3404162826
834	0.3402742487
835	0.3401585534
836	0.3400615334
837	0.3398108497
838	0.3397177525
839	0.3394841173
840	0.3393680481
841	0.3391730063
842	0.3390694474
843	0.3389713219
844	0.3388779866
845	0.3387024106
846	0.3385895577
847	0.3384434549
848	0.3383818727
849	0.3383388691
850	0.3381096392
851	0.3379195818
852	0.3376807564
853	0.3374904112
854	0.3374211353
855	0.3373043673
856	0.3372088161
857	0.337075858
858	0.3369314923
859	0.3368830596
860	0.3368156099
861	0.3367613413
862	0.3366706277
863	0.3365485945
864	0.3365104717
865	0.3363987142
866	0.3363825884
867	0.336217163
868	0.3361288734
869	0.3360353817
870	0.3358875707
871	0.3357976257
872	0.3355996204
873	0.3355144337
874	0.3354773917
875	0.3352167683
876	0.3351360701
877	0.3349997437
878	0.3347763742
879	0.3346554059
880	0.3346006369
881	0.3344542616
882	0.3343053893
883	0.3342626353
884	0.3341991783
885	0.334174052
886	0.3339389788
887	0.3338351404
888	0.3337275582
889	0.33358869
890	0.333451766
891	0.3333510784
892	0.3332303365
893	0.3331688406
894	0.3329987629
895	0.3327953021
896	0.3326697817
897	0.3324856373
898	0.3324127745
899	0.332357193
900	0.3321101987
901	0.3318928261
902	0.3317932803
903	0.3315864254
904	0.3314079161
905	0.3313248497
906	0.3312494454
907	0.3311551182
908	0.3309838315
909	0.3308565693
910	0.3306694591
911	0.3305537495
912	0.3304728312
913	0.3303743334
914	0.3302142869
915	0.3300613311
916	0.3300290624
917	0.3298666701
918	0.3297675634
919	0.3296819193
920	0.3294493455
921	0.3292869536
922	0.3291567831
923	0.3290802207
924	0.3289947497
925	0.3288969883
926	0.3288214073
927	0.3286372661
928	0.3285104176
929	0.328380048
930	0.3282833038
931	0.3280818646
932	0.3279099685
933	0.3277696091
934	0.3277008757
935	0.3276148384
936	0.3274980789
937	0.3273916294
938	0.3272468785
939	0.3272037284
940	0.3271246292
941	0.3270509338
942	0.3268980715
943	0.3268505255
944	0.3267714285
945	0.3265440754
946	0.3263951475
947	0.3261810252
948	0.3260837356
949	0.3259577861
950	0.3258019946
951	0.3256315302
952	0.3255461081
953	0.3254323827
954	0.3253067114
955	0.3251656077
956	0.3250215227
957	0.3249583272
958	0.3248007977
959	0.324607232
960	0.3244475962
961	0.3243025574
962	0.3241781968
963	0.3240886733
964	0.323916618
965	0.3238191685
966	0.3237283393
967	0.3236433707
968	0.3235570243
969	0.3234218919
970	0.3233575512
971	0.323236227
972	0.3231103463
973	0.3229625376
974	0.322827712
975	0.3226375884
976	0.3225482134
977	0.3224373697
978	0.322347673
979	0.3222656598
980	0.3221001939
981	0.3220149909
982	0.321932145
983	0.3218150264
984	0.3217477834
985	0.3217214969
986	0.3216142251
987	0.3214719888
988	0.3213763396
989	0.3213121751
990	0.3211407626
991	0.3209874768
992	0.3208169616
993	0.3206123491
994	0.3204676744
995	0.3204224569
996	0.3203398635
997	0.3202304873
998	0.3200720217
999	0.3199986632
