iter	Passed	Remaining
280	524	1342
281	525	1337
282	526	1333
283	527	1329
284	528	1325
285	529	1321
286	530	1317
287	531	1313
288	532	1309
289	533	1305
290	534	1302
291	535	1298
292	536	1294
293	537	1290
294	538	1286
295	539	1283
296	540	1279
297	541	1275
298	542	1272
299	543	1268
300	544	1264
301	545	1260
302	546	1257
303	547	1253
304	548	1250
305	549	1246
306	550	1242
307	551	1239
308	552	1235
309	553	1232
310	554	1228
311	555	1225
312	556	1221
313	557	1218
314	558	1214
315	559	1211
316	560	1207
317	561	1204
318	562	1200
319	563	1197
320	564	1194
321	565	1190
322	566	1187
323	567	1184
324	568	1181
325	569	1178
326	570	1174
327	571	1171
328	572	1168
329	573	1165
330	574	1162
331	575	1158
332	576	1155
333	577	1152
334	578	1149
335	580	1146
336	581	1143
337	582	1140
338	583	1137
339	584	1133
340	585	1130
341	586	1127
342	587	1124
343	588	1121
344	589	1118
345	590	1115
346	591	1112
347	592	1109
348	593	1106
349	594	1103
350	595	1100
351	596	1097
352	597	1094
353	598	1091
354	599	1088
355	600	1086
356	601	1083
357	602	1080
358	603	1077
359	604	1074
360	605	1071
361	606	1069
362	607	1066
363	608	1063
364	609	1060
365	610	1057
366	611	1054
367	612	1052
368	613	1049
369	614	1046
370	615	1043
371	616	1041
372	617	1038
373	618	1035
374	619	1032
375	620	1030
376	621	1027
377	622	1024
378	623	1022
379	624	1019
380	625	1016
381	626	1014
382	627	1011
383	628	1008
384	629	1006
385	630	1003
386	631	1001
387	633	998
388	634	996
389	635	994
390	637	992
391	638	990
392	640	988
393	641	987
394	643	985
395	645	984
396	646	982
397	647	979
398	648	977
399	649	974
400	650	972
401	651	969
402	652	967
403	653	964
404	654	962
405	655	959
406	656	957
407	658	954
408	659	952
409	660	949
410	661	947
411	662	944
412	663	942
413	664	940
414	665	937
415	666	935
416	667	932
417	668	930
418	669	928
419	670	925
420	671	923
421	672	920
422	673	918
423	674	916
424	675	913
425	676	911
426	677	909
427	678	906
428	679	904
429	680	902
430	681	899
431	682	897
432	683	895
433	684	892
434	685	890
435	686	888
436	687	885
437	688	883
438	689	881
439	690	879
440	691	876
441	692	874
442	693	872
443	694	869
444	695	867
445	696	865
446	697	863
447	698	860
448	699	858
449	700	856
450	701	854
451	702	852
452	703	849
453	704	847
454	705	845
455	706	843
456	707	841
457	708	838
458	709	836
459	710	834
460	711	832
461	712	830
462	713	828
463	715	825
464	716	823
465	717	821
466	718	819
467	719	817
468	720	815
469	721	813
470	722	811
471	723	808
472	724	806
473	725	804
474	726	802
475	727	800
476	728	798
477	729	796
478	730	794
479	731	792
480	732	790
481	733	788
482	734	786
483	735	784
484	736	782
485	737	779
486	738	777
487	739	775
488	740	773
489	741	771
490	742	769
491	743	767
492	744	765
493	745	763
494	746	761
495	747	759
496	748	757
497	749	755
498	750	753
499	751	751
500	752	749
501	753	747
502	754	745
503	755	743
504	756	741
505	758	740
506	759	738
507	760	736
508	761	734
509	762	732
510	763	730
511	764	728
512	765	727
513	767	725
514	768	723
515	769	721
516	770	719
517	771	717
518	772	715
519	773	714
520	774	712
521	776	710
522	777	708
523	778	707
524	779	705
525	780	703
526	781	701
527	782	699
528	783	697
529	784	695
530	785	694
531	786	692
532	787	690
533	788	688
534	789	686
535	790	684
536	792	683
537	793	681
538	794	679
539	795	677
540	796	676
541	797	674
542	798	672
543	800	670
544	801	668
545	802	666
546	803	665
547	804	663
548	805	661
549	806	659
550	808	658
551	809	656
552	809	654
553	810	652
554	811	651
555	813	649
556	814	647
557	815	645
558	815	643
559	816	641
560	818	640
561	819	638
562	820	636
563	821	635
564	822	633
565	823	631
566	824	629
567	825	628
568	826	626
569	828	624
570	829	622
571	830	621
572	830	619
573	831	617
574	832	615
575	833	613
576	834	612
577	836	610
578	837	608
579	838	606
580	839	605
581	840	603
582	841	601
583	842	599
584	843	598
585	844	596
586	845	594
587	846	593
588	847	591
589	848	589
590	849	587
591	850	585
592	851	584
593	852	582
594	853	580
595	854	579
596	855	577
597	856	576
598	857	574
599	859	572
600	860	571
601	861	569
602	862	567
603	863	565
604	863	564
605	865	562
606	866	560
607	867	559
608	868	557
609	869	555
610	870	554
611	871	552
612	872	550
613	873	549
614	875	547
615	876	546
616	877	544
617	878	542
618	879	541
619	880	539
620	881	537
621	882	536
622	883	534
623	884	532
624	885	531
625	886	529
626	887	527
627	888	526
628	890	525
629	891	523
630	892	521
631	893	520
632	894	518
633	895	516
634	896	515
635	897	513
636	898	512
637	899	510
638	900	508
639	901	507
640	902	505
641	903	503
642	904	502
643	906	500
644	907	499
645	908	497
646	909	496
647	910	494
648	911	492
649	912	491
650	913	489
651	914	488
652	915	486
653	916	484
654	917	483
655	918	481
656	919	479
657	920	478
658	921	476
659	922	475
660	923	473
661	924	472
662	925	470
663	927	469
664	927	467
665	929	465
666	930	464
667	931	462
668	932	461
669	933	459
670	934	457
671	935	456
672	936	454
673	937	453
674	938	451
675	939	450
676	940	448
677	941	447
678	942	445
679	943	443
680	944	442
681	945	440
682	946	439
683	947	437
684	948	436
685	949	434
686	950	433
687	951	431
688	953	430
689	954	428
690	955	427
691	956	425
692	957	424
693	958	422
694	959	420
695	960	419
696	961	418
697	962	416
698	963	414
699	964	413
700	965	411
701	966	410
702	967	408
703	968	407
704	970	405
705	971	404
706	972	402
707	973	401
708	974	399
709	975	398
710	976	396
711	977	395
712	978	393
713	979	392
714	980	390
715	981	389
716	982	387
717	983	386
718	984	384
719	985	383
720	986	381
721	987	380
722	988	378
723	989	377
724	990	375
725	991	374
726	992	372
727	993	371
728	994	369
729	995	368
730	996	366
731	997	365
732	998	363
733	999	362
734	1000	360
735	1001	359
736	1002	357
737	1003	356
738	1004	354
739	1005	353
740	1006	351
741	1007	350
742	1008	348
743	1009	347
744	1010	345
745	1011	344
746	1012	342
747	1013	341
748	1016	340
749	1017	339
750	1018	337
751	1019	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1023	328
757	1025	327
758	1026	325
759	1027	324
760	1028	322
761	1029	321
762	1030	320
763	1032	318
764	1033	317
765	1034	315
766	1035	314
767	1036	313
768	1037	311
769	1038	310
770	1039	308
771	1040	307
772	1041	305
773	1042	304
774	1043	302
775	1044	301
776	1045	300
777	1046	298
778	1047	297
779	1048	295
780	1049	294
781	1050	292
782	1051	291
783	1052	290
784	1054	288
785	1055	287
786	1056	285
787	1057	284
788	1058	282
789	1058	281
790	1060	280
791	1060	278
792	1061	277
793	1062	275
794	1063	274
795	1064	272
796	1065	271
797	1067	270
798	1068	268
799	1069	267
800	1070	265
801	1071	264
802	1072	263
803	1073	261
804	1074	260
805	1075	258
806	1076	257
807	1077	255
808	1078	254
809	1079	253
810	1080	251
811	1081	250
812	1082	248
813	1083	247
814	1084	246
815	1085	244
816	1086	243
817	1087	241
818	1088	240
819	1089	239
820	1090	237
821	1091	236
822	1092	235
823	1093	233
824	1097	232
825	1098	231
826	1099	229
827	1100	228
828	1101	227
829	1102	225
830	1103	224
831	1104	222
832	1105	221
833	1106	220
834	1107	218
835	1108	217
836	1109	216
837	1110	214
838	1111	213
839	1112	211
840	1113	210
841	1114	209
842	1116	207
843	1117	206
844	1119	205
845	1120	204
846	1121	202
847	1123	201
848	1124	199
849	1125	198
850	1126	197
851	1127	195
852	1128	194
853	1129	193
854	1130	191
855	1131	190
856	1132	188
857	1133	187
858	1134	186
859	1135	184
860	1136	183
861	1137	182
862	1138	180
863	1139	179
864	1140	177
865	1141	176
866	1142	175
867	1143	173
868	1144	172
869	1145	171
870	1146	169
871	1147	168
872	1148	167
873	1149	165
874	1150	164
875	1151	163
876	1152	161
877	1153	160
878	1154	158
879	1155	157
880	1156	156
881	1157	154
882	1158	153
883	1159	152
884	1161	150
885	1162	149
886	1163	148
887	1164	146
888	1165	145
889	1166	144
890	1167	142
891	1168	141
892	1169	140
893	1170	138
894	1171	137
895	1172	136
896	1173	134
897	1174	133
898	1175	132
899	1176	130
900	1177	129
901	1178	128
902	1179	126
903	1180	125
904	1181	124
905	1182	122
906	1183	121
907	1184	120
908	1185	118
909	1186	117
910	1187	116
911	1188	114
912	1189	113
913	1190	112
914	1191	110
915	1192	109
916	1193	108
917	1194	106
918	1196	105
919	1197	104
920	1198	102
921	1199	101
922	1200	100
923	1201	98
924	1202	97
925	1203	96
926	1204	94
927	1205	93
928	1206	92
929	1207	90
930	1208	89
931	1209	88
932	1211	86
933	1212	85
934	1214	84
935	1217	83
936	1218	81
937	1219	80
938	1220	79
939	1221	77
940	1222	76
941	1223	75
942	1224	74
943	1225	72
944	1226	71
945	1227	70
946	1229	68
947	1231	67
948	1232	66
949	1234	64
950	1235	63
951	1236	62
952	1237	61
953	1238	59
954	1239	58
955	1240	57
956	1241	55
957	1242	54
958	1243	53
959	1244	51
960	1245	50
961	1246	49
962	1248	47
963	1250	46
964	1251	45
965	1254	44
966	1256	42
967	1258	41
968	1260	40
969	1262	39
970	1264	37
971	1265	36
972	1267	35
973	1269	33
974	1270	32
975	1272	31
976	1274	30
977	1276	28
978	1279	27
979	1282	26
980	1284	24
981	1285	23
982	1287	22
983	1288	20
984	1290	19
985	1291	18
986	1293	17
987	1294	15
988	1296	14
989	1297	13
990	1299	11
991	1300	10
992	1302	9
993	1304	7
994	1313	6
995	1315	5
996	1316	3
997	1317	2
998	1318	1
999	1319	0
