iter	Passed	Remaining
0	52	52027
1	53	26518
2	54	17993
3	55	13718
4	56	11159
5	57	9445
6	57	8225
7	58	7309
8	60	6643
9	61	6069
10	62	5615
11	67	5598
12	69	5245
13	70	4954
14	71	4705
15	72	4473
16	73	4266
17	74	4080
18	75	3913
19	76	3761
20	77	3622
21	78	3502
22	79	3396
23	80	3292
24	81	3197
25	82	3108
26	83	3026
27	84	2948
28	85	2875
29	86	2807
30	87	2744
31	88	2685
32	89	2629
33	90	2577
34	91	2527
35	92	2480
36	93	2435
37	94	2392
38	95	2352
39	97	2338
40	98	2302
41	99	2266
42	100	2233
43	101	2200
44	102	2169
45	103	2143
46	104	2116
47	105	2089
48	106	2063
49	107	2038
50	108	2014
51	109	1990
52	110	1968
53	111	1946
54	112	1925
55	113	1905
56	114	1887
57	115	1869
58	116	1852
59	117	1835
60	118	1817
61	119	1800
62	119	1784
63	120	1768
64	121	1753
65	122	1738
66	123	1723
67	124	1709
68	125	1695
69	126	1682
70	127	1669
71	128	1657
72	129	1645
73	130	1633
74	131	1621
75	132	1609
76	133	1598
77	134	1587
78	135	1577
79	136	1568
80	137	1559
81	138	1549
82	139	1539
83	140	1529
84	141	1520
85	142	1511
86	143	1502
87	144	1499
88	145	1491
89	146	1484
90	147	1476
91	148	1469
92	149	1461
93	150	1453
94	151	1446
95	152	1439
96	153	1432
97	154	1425
98	155	1418
99	156	1410
100	157	1403
101	158	1397
102	159	1390
103	160	1383
104	161	1377
105	162	1371
106	163	1365
107	164	1360
108	165	1354
109	166	1348
110	167	1342
111	168	1336
112	169	1331
113	170	1325
114	171	1319
115	172	1314
116	173	1308
117	174	1303
118	175	1298
119	176	1292
120	177	1287
121	178	1282
122	179	1278
123	180	1274
124	181	1269
125	182	1265
126	183	1261
127	185	1264
128	186	1259
129	187	1255
130	188	1251
131	189	1247
132	190	1243
133	191	1239
134	192	1235
135	194	1233
136	195	1229
137	196	1226
138	197	1222
139	198	1218
140	199	1214
141	200	1211
142	201	1207
143	202	1204
144	203	1200
145	204	1196
146	205	1192
147	206	1189
148	207	1185
149	208	1181
150	209	1177
151	210	1177
152	212	1176
153	219	1206
154	220	1203
155	222	1203
156	223	1199
157	224	1195
158	228	1210
159	231	1217
160	235	1229
161	237	1228
162	240	1232
163	242	1234
164	248	1256
165	254	1277
166	255	1276
167	258	1281
168	271	1332
169	272	1331
170	274	1330
171	276	1331
172	278	1330
173	280	1330
174	282	1332
175	287	1348
176	290	1349
177	292	1352
178	295	1356
179	298	1361
180	300	1360
181	302	1359
182	304	1359
183	306	1361
184	309	1363
185	312	1367
186	314	1367
187	316	1365
188	317	1361
189	319	1360
190	320	1359
191	322	1356
192	324	1357
193	326	1354
194	327	1353
195	332	1362
196	333	1360
197	335	1358
198	336	1354
199	337	1351
200	345	1372
201	348	1378
202	351	1378
203	352	1376
204	355	1380
205	360	1389
206	363	1391
207	365	1392
208	367	1390
209	369	1389
210	372	1393
211	376	1398
212	378	1399
213	380	1397
214	382	1397
215	384	1395
216	386	1393
217	388	1394
218	390	1392
219	392	1390
220	395	1394
221	397	1392
222	398	1389
223	400	1387
224	401	1384
225	407	1394
226	410	1397
227	414	1402
228	415	1400
229	417	1397
230	420	1400
231	423	1402
232	426	1402
233	427	1400
234	429	1397
235	430	1394
236	435	1403
237	438	1403
238	440	1401
239	445	1411
240	448	1411
241	449	1407
242	450	1404
243	454	1406
244	456	1406
245	458	1406
246	460	1405
247	463	1405
248	465	1404
249	473	1420
250	475	1419
251	478	1419
252	479	1415
253	480	1412
254	488	1428
255	495	1440
256	497	1438
257	499	1436
258	501	1434
259	503	1431
260	504	1428
261	505	1424
262	506	1420
263	507	1415
264	508	1411
265	509	1406
266	510	1402
267	511	1397
268	512	1393
269	513	1388
270	514	1384
271	515	1380
272	516	1376
273	517	1371
274	518	1367
275	519	1363
276	520	1358
277	521	1354
278	522	1350
279	523	1346
